"date","y3","y0","boi","now","cut0","yr"
2005-12-31,0.0175816977083381,-0.00381538083004399,-0.00316827147996987,0.00135693327831953,"(-0.00857,0.00476]","2005"
2006-03-31,-0.00186420609230527,0.0239060105585926,-0.0106834641963637,0.035937400457197,"(0.00476,0.123]","2006"
2006-06-30,0.00676014956972467,-0.00369207593338143,-0.0104829153062346,-0.0128190127683267,"(-0.00857,0.00476]","2006"
2006-09-30,-0.0678032929046271,-0.0714052482655328,-0.00325428743552521,0.00156352196386425,"[-0.103,-0.00857]","2006"
2006-12-31,0.0887089354745484,0.0949758803181354,-0.00709242190263461,-0.0184224217054936,"(0.00476,0.123]","2006"
2007-03-31,-0.0186584163207297,-0.0157365032805762,-0.0131575220253905,-0.0136628128117748,"[-0.103,-0.00857]","2007"
2007-06-30,-0.00149644876368992,-0.00243641670673306,-0.00893179402547049,-0.00176225448856837,"(-0.00857,0.00476]","2007"
2007-09-30,0.00114694944529159,-0.00579104909828803,-0.0164317806252181,0.00759689701807567,"(-0.00857,0.00476]","2007"
2007-12-31,-0.00131807080631183,0.00916814230005708,-0.00588144773790388,0.00582930272876983,"(0.00476,0.123]","2007"
2008-03-31,-0.0052338276980772,-0.00905412285498941,-0.000858292161549778,-0.00203595258596872,"[-0.103,-0.00857]","2008"
2008-06-30,-0.0153214447087734,-0.0117814474483874,-0.00370866726438786,-0.00660243208271479,"[-0.103,-0.00857]","2008"
2008-09-30,-0.0258327544819478,-0.0182603298639002,0.00244977354574622,-0.0167479985972718,"[-0.103,-0.00857]","2008"
2008-12-31,-0.0247782333665174,-0.0269819135784293,-0.00703720124794269,-0.050042940983383,"[-0.103,-0.00857]","2008"
2009-03-31,-0.0165152764708849,-0.0314401522501013,0.000786535851186839,0.0185593952915654,"[-0.103,-0.00857]","2009"
2009-06-30,0.0427788731335604,0.0475609371662922,0.00352937065386055,0.0211064096633328,"(0.00476,0.123]","2009"
2009-09-30,0.0206687078990136,0.0118566894006016,0.00136426405386584,0.0133259197539561,"(0.00476,0.123]","2009"
2009-12-31,0.0170000074477009,0.0216198179883148,0.00191553739131808,0.0197492409551266,"(0.00476,0.123]","2009"
2010-03-31,-0.0113310115823517,-0.010175093388725,-0.0021541587292114,-0.000317435737011664,"[-0.103,-0.00857]","2010"
2010-06-30,0.00819184235123303,0.0136211901187129,-0.00388506843846709,-0.000911997211897613,"(0.00476,0.123]","2010"
2010-09-30,-0.000410348175005319,-0.00893914259626253,-0.00740786198036578,-0.00518227036371376,"[-0.103,-0.00857]","2010"
2010-12-31,0.0308990461160971,0.0381329960294614,-0.0106108335347103,0.00163593120139342,"(0.00476,0.123]","2010"
2011-03-31,-0.0276806939490301,-0.0288076457014569,-0.00714681486166737,0.00256650181055676,"[-0.103,-0.00857]","2011"
2011-06-30,-0.0112106803161808,-0.0126498519486827,0.0024789518053052,-0.0132004240582803,"[-0.103,-0.00857]","2011"
2011-09-30,0.00265078152117754,0.000417012561647596,-0.0115071411824066,-0.00301797436421927,"(-0.00857,0.00476]","2011"
2011-12-31,-0.00584671809337227,-0.00200886503357881,-0.00157604469370933,-0.00373638141353962,"(-0.00857,0.00476]","2011"
2012-03-31,-0.00315241009712595,-0.00193633293763301,-0.00445453671134019,0.00808885669443458,"(-0.00857,0.00476]","2012"
2012-06-30,0.0057100408964211,0.00260715079926824,-0.00513166787045444,-0.00144026173459546,"(-0.00857,0.00476]","2012"
2012-09-30,-0.00555147529129455,-0.00333148380746849,-0.00247879617780446,-0.00213638582088673,"(-0.00857,0.00476]","2012"
2012-12-31,-0.00223930858650901,-0.00403821325073534,-0.00645209118823,-0.00382095501266997,"(-0.00857,0.00476]","2012"
2013-03-31,0.00090537939816337,0.00263342722946396,-0.00954575231262208,0.0026260757925656,"(-0.00857,0.00476]","2013"
2013-06-30,0.0182389300764476,0.0226967736382922,-0.00957168939303288,0.00246801608811899,"(0.00476,0.123]","2013"
2013-09-30,-0.023640527449573,-0.0276532987020214,-0.0115188603560225,0.00464666021297206,"[-0.103,-0.00857]","2013"
2013-12-31,0.00761396631944874,0.00116284048220759,0.00253384874837066,-0.00091466371169784,"(-0.00857,0.00476]","2013"
2014-03-31,-0.000316487042433877,-0.0015686840339264,-0.00953885460170862,-0.00235690813910976,"(-0.00857,0.00476]","2014"
2014-06-30,-0.00653436553360025,-0.00464672818347902,-0.00822952382114105,-0.00162291728497592,"(-0.00857,0.00476]","2014"
2014-09-30,-0.0151814742605101,-0.0198618662937102,-0.00400777287895164,-0.00457840001186059,"[-0.103,-0.00857]","2014"
2014-12-31,0.0594394613321538,0.0758814285396654,0.000866707967828367,0.00520325291828801,"(0.00476,0.123]","2014"
2015-03-31,-0.0435006259448446,-0.0437604980319847,-0.0101777792439141,0.00163813299450169,"[-0.103,-0.00857]","2015"
2015-06-30,-0.0171641708811679,-0.0216367034695801,-0.00898751659586925,-0.00738316914991715,"[-0.103,-0.00857]","2015"
